id,name,kind_of_institution_and_funding_body,year_of_foundation,total_number_of_students,students_at_this_campus,semester_contribution,tuition_fees,medicine_health_science,natural_sciences_mathematics,law_economic_and_social_sciences,humanities_languages,engineering_science_incl_computer_science,other_studies,bachelors_degree,masters_degree,teacher_qualification_degree,pre_bologna_degrees,other_types_of_degrees,url,departments,departments_detail
61,Jacobs University Bremen gGmbH,"University, private",1999,"1,388","1,388",no data,no data,0.0%,23.2%,45.6%,0.8%,25.2%,5.2%,77.7%,15.9%,0.0%,0.0%,6.4%,https://ranking.zeit.de/che/en/hochschule/61,"Biology / Bioscience, Chemistry, Computer Science, Economic Sciences, Geoscience, Industrial Engineering, Interdisciplinary programmes, Mathematics, Physics, Political Science, Psychology","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420440'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420448'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420495'}, {'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1600776'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430131'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603233'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133544?subfach=117'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420270'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420269'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410595'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133522'}]"
62,Universität Hamburg,"University, public",1919,"43,211","43,211",no data,There are no study fees.,9.9%,17.8%,49.5%,14.4%,5.3%,3.1%,43.7%,19.8%,13.7%,21.6%,1.3%,https://ranking.zeit.de/che/en/hochschule/62,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Industrial Engineering, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420108'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300053'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9500637'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200042'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400083'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420030'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300153'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30152'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30559'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430071'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430070'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30148'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430847'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600662'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400084'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420029'}, {'name': 'Pharmacy', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420309'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400085'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100156'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30150'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440029'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430592'}]"
64,Technische Universität Hamburg,"University, public",1978,"7,812","7,812","330,60€",There are no study fees.,0.0%,3.7%,10.1%,0.0%,85.0%,1.3%,58.4%,32.6%,7.6%,0.0%,1.4%,https://ranking.zeit.de/che/en/hochschule/64,"Biotechnology, Biotechnology, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Process Engineering","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10074?subfach=112'}, {'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/431002?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/800215'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8028?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420536'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9137?subfach=101'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8028?subfach=118'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430849'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604408?subfach=117'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/431002?subfach=117'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10074?subfach=108'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491090'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10074?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/140011'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/431002?subfach=110'}]"
66,Helmut-Schmidt-Universität - Universität der Bundeswehr Hamburg,"University, public",1972,"2,775","2,775",no data,"min. 6.000,00€",1.1%,0.0%,64.3%,8.9%,14.8%,10.8%,61.9%,38.1%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/66,"Business Administration, Civil Engineering, Economics, Education Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Law, Mechanical Engineering, Mechatronics, Political Science, Psychology","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100198'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604417?subfach=104'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100177'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30558'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133474?subfach=101'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410259'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133474?subfach=117'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133500?subfach=117'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605302'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133500?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/140018'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100126'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600787'}]"
68,HafenCity Universität Hamburg,"University, public",2006,"2,321","2,321","335,00€",There are no study fees.,0.0%,0.0%,0.0%,10.6%,89.4%,0.0%,65.4%,32.9%,0.0%,0.0%,1.6%,https://ranking.zeit.de/che/en/hochschule/68,"Architecture, Civil Engineering","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440113'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440114?subfach=104'}]"
69,Kühne Logistics University,"University, private",2010,301,301,no data,"min. 5480,00€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,34.8%,65.2%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/69,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/602024'}]"
70,Technische Universität Darmstadt,"University, public",1877,"25,889","25,889","268,64€",There are no study fees.,0.0%,16.5%,10.9%,5.0%,66.9%,0.6%,59.1%,34.8%,5.0%,0.1%,1.0%,https://ranking.zeit.de/che/en/hochschule/70,"Architecture, Biology / Bioscience, Business Informatics, Chemistry, Civil Engineering, Computer Science, Education Science, Electrical / Information Engineering, Environmental Civil Engineering, Geoscience, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Physics, Political Science, Psychology, Sports Sciences","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7012'}, {'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420092'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100310'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200030'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8020?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400087'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30529'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9027?subfach=101'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8020?subfach=118'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430047'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30061'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10999'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9027?subfach=117'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500465?subfach=108'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400089'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10003?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/140001'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400090'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100117'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30063'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430580'}]"
72,Johann Wolfgang Goethe-Universität Frankfurt am Main,"University, public",1914,"46,482","46,482","369,89€",There are no study fees.,8.3%,20.1%,38.3%,21.2%,5.8%,6.3%,48.4%,16.0%,13.9%,20.7%,1.0%,https://ranking.zeit.de/che/en/hochschule/72,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economic Sciences, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420101'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7300055'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603165'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200014'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400091'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420020'}, {'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300055'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603205'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30113'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30545'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430056'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430057'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30109'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400094'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400092'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420019'}, {'name': 'Pharmacy', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420305'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400093'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100160'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30111'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440033'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430585'}]"
74,Justus-Liebig-Universität Gießen,"University, public",1607,"28,039","28,039",no data,There are no study fees.,10.7%,17.4%,33.4%,14.4%,1.5%,22.7%,36.2%,17.3%,22.4%,22.5%,1.5%,https://ranking.zeit.de/che/en/hochschule/74,"Biology / Bioscience, Business Administration, Chemistry, Dentistry, Economic Sciences, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Law, Mathematics, Medicine, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420103'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8300056'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200302'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420001'}, {'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300056'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9300056'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30127'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30548'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430063'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30123'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400097'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400095'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420000'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400096'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100136'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30125'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440034'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430587'}]"
76,Philipps-Universität Marburg,"University, public",1527,"23,939","23,939","336,73€",There are no study fees.,12.9%,22.0%,32.6%,21.0%,6.3%,5.1%,43.1%,16.3%,10.3%,28.3%,2.0%,https://ranking.zeit.de/che/en/hochschule/76,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420132'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300057'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605095'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200018'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400098'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420047'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300157'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30241'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30238'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430095'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30237'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400101'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400099'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420046'}, {'name': 'Pharmacy', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420316'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400100'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100103'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30239'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440035'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430606'}]"
77,Hochschule Macromedia,"University of applied sciences, private",1993,"3,276",662,no data,"min. 890,00€",0.0%,0.0%,70.4%,0.0%,0.0%,29.6%,79.5%,9.5%,0.0%,0.0%,11.0%,https://ranking.zeit.de/che/en/hochschule/77,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603032'}]"
78,EBS Universität für Wirtschaft und Recht,"University, private",1971,"2,012","1,556",no data,"min. 6.950,00€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,37.7%,54.9%,0.0%,0.3%,7.2%,https://ranking.zeit.de/che/en/hochschule/78,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300957'}]"
80,Universität Greifswald,"University, public",1456,"10,179","10,179","81,50€",There are no study fees.,20.5%,27.9%,31.2%,17.9%,0.0%,2.5%,29.9%,14.4%,12.8%,41.6%,1.3%,https://ranking.zeit.de/che/en/hochschule/80,"Biology / Bioscience, Business Administration, Dentistry, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420106'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300058'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420026'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30551'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430066'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430067'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30132'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400104'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400102'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420025'}, {'name': 'Pharmacy', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420307'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400103'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100118'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30552'}]"
82,Universität Rostock,"University, public",1419,"13,322","13,322","190,00€",There are no study fees.,16.5%,15.5%,26.3%,16.7%,20.4%,4.6%,35.8%,17.9%,26.3%,18.4%,1.6%,https://ranking.zeit.de/che/en/hochschule/82,"Biology / Bioscience, Biotechnology, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economic Sciences, Economics, Education Science, Electrical / Information Engineering, English / North American Studies, Environmental Civil Engineering, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Mathematics, Mechanical Engineering, Mechatronics, Medicine, Physics, Political Science, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420148'}, {'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600815?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8300059'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100294'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430132'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400105'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420501'}, {'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300059'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605003'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604378'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9145?subfach=101'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30611'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1600816?subfach=118'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30278'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13057'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9145?subfach=117'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400107'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10145?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/140012'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420055'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420272'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100147'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440038'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430616'}]"
