name,department_name,program_name,standard_period_of_study,total_credits,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance_m,gender_balance_f,proportion_of_international_students,international_orientati_studies_abroad,international_orientati_students_mobility,international_orientati_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environme_internships,contact_with_work_environme_case_studies,contact_with_work_environme_external_staff_members,contact_with_work_environment,degree
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,Medicine (State Examination),,,"2,557",340,467,,49,51,0.12,,,,,,,,,master
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,Interprofessional Health Care (B.Sc.),,,74,13,,,15,85,0.01,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,Care Research and Implementation Science in Health Care (M.Sc.),,120,52,21,,,15,85,0.06,d,b,d,d,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,Medical Education (M.Sc.),,60,50,25,,,60,40,0.02,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,Medical Biometry/Biostatistics (M.Sc.),,120,32,,,,66,34,0.12,d,a,d,d,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,International Health (M.Sc.),,60,30,22,,,33,67,0.87,d,a,a,b,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Biowissenschaften at the Uni Heidelberg,Pharmacy (State Examination),,,195,44,41,,21,79,,,,,,,,,,master
Ruprecht-Karls-Universität Heidelberg,Fakultät für Biowissenschaften at the Uni Heidelberg,Molecular Biotechnology (B.Sc.),,,274,86,,,39,61,,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Biowissenschaften at the Uni Heidelberg,Molecular Biotechnology (M.Sc.),4 semesters,120,224,59,,,46,54,,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Physik und Astronomie at the Uni Heidelberg,Physics (B.Sc.),6 semesters,180,"1,165",361,234,0.968,78,22,0.07,d,b,d,e,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Physik und Astronomie at the Uni Heidelberg,Physics (M.Sc.),4 semesters,120,628,210,176,0.702,81,19,0.14,d,a,a,c,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Wirtschafts- und Sozialwissenschaften at the Uni Heidelberg,Political Science (B.A.),,180,496,142,73,0.925,49,51,0.08,d,b,c,d,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Wirtschafts- und Sozialwissenschaften at the Uni Heidelberg,Political Science (M.A.),,120,148,53,34,0.696,51,49,0.16,d,a,b,c,,,,,master
Ruprecht-Karls-Universität Heidelberg,Fakultät für Verhaltens- und Empirische Kulturwissenschaften at the Uni Heidelberg,Psychology (B.Sc.),6 semesters,180,364,92,80,0.893,17,83,0.11,d,a,d,d,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Verhaltens- und Empirische Kulturwissenschaften at the Uni Heidelberg,Psychology (M.Sc.),4 semesters,120,264,98,85,0.759,19,81,0.04,d,c,c,d,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,Romance Studies / Spanish (B),6 semesters,180,166,51,10,,,,0.07,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,Romance Studies / French (B),6 semesters,180,131,47,10,,,,0.05,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,Romance Studies / Italian (B),6 semesters,180,33,8,10,,,,0.12,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,Estudios iberoamericanos. TeorÃ­a y metodologÃ­a del contacto / Latin American Studies. Contact Theories and Methods (MA),4 semesters,120,19,9,,,,,0.53,d,a,a,b,,,,,master
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,Ã‰tudes transculturelles. LittÃ©ratures et contacs linguistiques dans lâ€™espace francophone / Transcultural Studies. Literatures and Language Contacts in Francophone Regions (MA),4 semesters,120,7,6,,,,,0.29,b,a,a,a,,,,,master
